"full_name","aka","relations","born_date","age","born_location","bowling_style","batting_style","fielding_position","playing_role","links"
"Mayank Anurag Agarwal",NA,NA," 1991-February 16","31.726"," Bangalore, Karnataka","Right arm Offbreak","Right hand Bat",NA,"Batter","https://www.espncricinfo.com/player/mayank-agarwal-398438"
"Arshdeep Singh",NA,NA," 1999-February 05","23.751"," Guna, Madhya Pradesh","Left arm Medium fast","Left hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/arshdeep-singh-1125976"
"Ravichandran Ashwin",NA,NA," 1986-September 17","36.145"," Madras (now Chennai), Tamil Nadu","Right arm Offbreak","Right hand Bat",NA,"Bowling Allrounder","https://www.espncricinfo.com/player/ravichandran-ashwin-26421"
"Avesh Khan","Avesh Khan",NA," 1996-December 13","25.899"," Indore, Madhya Pradesh","Right arm Fast medium","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/avesh-khan-694211"
"Simran Dil Bahadur",NA,NA," 1999-December 13","22.899"," New Delhi,NA","Right arm Medium","Left hand Bat",NA,"Bowling Allrounder","https://www.espncricinfo.com/player/simran-bahadur-1204925"
"Taniya Bhatia",NA,NA," 1997-November 28","24.94"," Chandigarh, Punjab",NA,"Right hand Bat",NA,"Wicketkeeper Batter","https://www.espncricinfo.com/player/taniya-bhatia-883423"
"Yastika Harish Bhatia",NA,NA," 2000-November 01","22.011"," Baroda (now Vadodara), Gujarat","Slow Left arm Orthodox","Left hand Bat",NA,"Middle order Batter","https://www.espncricinfo.com/player/yastika-bhatia-960715"
"Ekta Bisht",NA,NA," 1986-February 08","36.751"," Almora, Uttar Pradesh","Slow Left arm Orthodox","Left hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/ekta-bisht-442048"
"Jasprit Jasbirsingh Bumrah",NA,NA," 1993-December 06","28.921"," Ahmedabad,NA","Right arm Fast","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/jasprit-bumrah-625383"
"Yuzvendra Singh Chahal",NA,NA," 1990-July 23","32.296"," Jind, Haryana","Legbreak Googly","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/yuzvendra-chahal-430246"
"Deepak Lokandersingh Chahar","Deepak Chahar","RD Chahar (cousin)"," 1992-August 07","30.252"," Agra, Uttar Pradesh","Right arm Medium","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/deepak-chahar-447261"
"Rahul Desraj Chahar",NA,"DL Chahar (cousin)"," 1999-August 04","23.258"," Bharaatpur, Rajasthan","Legbreak Googly","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/rahul-chahar-1064812"
"Harleen Deol",NA,NA," 1998-June 21","24.378"," Chandigarh, Punjab","Right arm Offbreak, Legbreak Googly","Right hand Bat",NA,"Middle order Batter","https://www.espncricinfo.com/player/harleen-deol-960845"
"Shikhar Dhawan",NA,NA," 1985-December 05","36.929"," Delhi,NA","Right arm Offbreak","Left hand Bat",NA,"Opening Batter","https://www.espncricinfo.com/player/shikhar-dhawan-28235"
"Ruturaj Dashrat Gaikwad",NA,NA," 1997-January 31","25.764"," Pune, Maharashtra","Right arm Offbreak","Right hand Bat",NA,"Batter","https://www.espncricinfo.com/player/ruturaj-gaikwad-1060380"
"Rajeshwari Shivanand Gayakwad",NA,NA," 1991-June 01","31.438"," Bijapur, Karnataka","Slow Left arm Orthodox","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/rajeshwari-gayakwad-709635"
"Richa Manabendra Ghosh",NA,NA," 2003-September 28","19.104"," Siliguri, West Bengal","Right arm Medium","Right hand Bat","Wicketkeeper","Wicketkeeper Batter","https://www.espncricinfo.com/player/richa-ghosh-1212830"
"Jhulan Nishit Goswami","Babul",NA," 1982-November 25","39.959"," Nadia, Bengal","Right arm Medium","Right hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/jhulan-goswami-53932"
"Dayalan Hemalatha",NA,NA," 1994-September 29","28.107"," Madras (now Chennai), Tamil Nadu","Right arm Offbreak","Right hand Bat",NA,"Top order Batter","https://www.espncricinfo.com/player/dayalan-hemalatha-961107"
"Deepak Jagbir Hooda",NA,NA," 1995-April 19","27.553"," Rohtak,NA","Right arm Offbreak","Right hand Bat",NA,"Allrounder","https://www.espncricinfo.com/player/deepak-hooda-497121"
"Ishan Pranav Kumar Pandey Kishan",NA,NA," 1998-July 18","24.304"," Patna, Bihar",NA,"Left hand Bat","Wicketkeeper","Wicketkeeper Batter","https://www.espncricinfo.com/player/ishan-kishan-720471"
"Shreyas Santosh Iyer",NA,NA," 1994-December 06","27.921"," Mumbai,NA","Right arm Offbreak, Legbreak Googly","Right hand Bat",NA,"Top order Batter","https://www.espncricinfo.com/player/shreyas-iyer-642519"
"Venkatesh Rajasekaran Iyer","Venkatesh Iyer",NA," 1994-December 25","27.868"," Indore, Madhya Pradesh","Right arm Medium","Left hand Bat",NA,"Allrounder","https://www.espncricinfo.com/player/venkatesh-iyer-851403"
"Ravindrasinh Anirudhsinh Jadeja",NA,NA," 1988-December 06","33.923"," Navagam-Khed, Saurashtra","Slow Left arm Orthodox","Left hand Bat",NA,"Allrounder","https://www.espncricinfo.com/player/ravindra-jadeja-234675"
"Krishnakumar Dinesh Karthik","Dinesh",NA," 1985-June 01","37.441"," Madras (now Chennai), Tamil Nadu","Right arm Offbreak","Right hand Bat","Wicketkeeper","Wicketkeeper Batter","https://www.espncricinfo.com/player/dinesh-karthik-30045"
"Harmanpreet Kaur Bhullar",NA,NA," 1989-March 08","33.671"," Punjab,NA","Right arm Offbreak","Right hand Bat",NA,"Allrounder","https://www.espncricinfo.com/player/harmanpreet-kaur-372317"
"Virat Kohli",NA,NA," 1988-November 05","34.008"," Delhi,NA","Right arm Medium","Right hand Bat",NA,"Top order Batter","https://www.espncricinfo.com/player/virat-kohli-253802"
"Kuldeep Yadav",NA,NA," 1994-December 14","27.899"," Kanpur, Uttar Pradesh","Left arm Wrist spin","Left hand Bat",NA,"Bowler","https://www.espncricinfo.com/player/kuldeep-yadav-559235"
