"age","year","childs","zodiac"
53,2014,0,"virgo"
26,2014,0,"virgo"
59,2014,1,"gemini"
56,2014,2,"scorpio"
74,2014,3,"sagittarius"
56,2014,1,"scorpio"
63,2014,2,NA
34,2014,2,"virgo"
37,2014,4,"virgo"
30,2014,3,"sagittarius"
43,2014,2,"aquarius"
56,2014,0,"libra"
69,2014,5,"aquarius"
40,2014,2,"leo"
25,2014,0,"aries"
56,2014,3,"libra"
51,2014,3,"sagittarius"
46,2014,0,"taurus"
51,2014,2,"aquarius"
39,2014,2,"libra"
30,2014,2,"virgo"
36,2014,3,"capricorn"
42,2014,3,"aquarius"
38,2014,0,"capricorn"
38,2014,2,"sagittarius"
28,2014,0,"scorpio"
35,2014,2,"taurus"
57,2014,6,"gemini"
50,2014,2,"virgo"
54,2014,1,"leo"
NA,2014,0,NA
61,2014,3,"gemini"
54,2014,0,"pisces"
47,2014,2,"aries"
53,2014,2,"aries"
37,2014,2,"libra"
38,2014,2,"sagittarius"
31,2014,0,"aries"
69,2014,2,"leo"
35,2014,1,NA
61,2014,2,"cancer"
80,2014,3,"scorpio"
59,2014,0,"scorpio"
26,2014,0,"leo"
50,2014,1,"gemini"
43,2014,2,"virgo"
30,2014,0,"taurus"
59,2014,4,"gemini"
32,2014,0,"libra"
32,2014,2,"sagittarius"
52,2014,3,"aquarius"
42,2014,1,"aries"
29,2014,0,"aries"
81,2014,3,"aries"
51,2014,1,"gemini"
24,2014,0,"pisces"
63,2014,0,"sagittarius"
44,2014,0,"gemini"
56,2014,0,"libra"
43,2014,1,"aries"
51,2014,0,"taurus"
32,2014,0,"gemini"
47,2014,0,"cancer"
47,2014,0,"aquarius"
34,2014,0,"pisces"
69,2014,2,"cancer"
65,2014,0,"cancer"
57,2014,3,"gemini"
24,2014,0,"aquarius"
32,2014,0,"leo"
51,2014,2,"virgo"
66,2014,2,"capricorn"
51,2014,2,"aries"
27,2014,0,"virgo"
39,2014,1,"capricorn"
41,2014,3,"cancer"
54,2014,2,NA
