"","x"
"1","Full NameMayank Anurag AgarwalBornFebruary 16, 1991, Bangalore, KarnatakaAge31y 256dBatting StyleRight hand BatBowling StyleRight arm OffbreakPlaying RoleBatterTEAMSIndiaBelagavi PanthersBellary TuskersBengaluru BlastersChemplastDelhi DaredevilsIndia AIndia BIndia BlueIndia CIndia RedIndia Under-19sIndian Board President's XIKarnatakaKarnataka State Cricket Association Colts XIKarnataka Under-19sKings XI PunjabMadras Cricket ClubRest of IndiaRising Pune SupergiantRoyal Challengers BangaloreShamanoor Davangere DiamondsSouth ZoneA prolific opening batsman since his Under-13 days with Bishop Cotton Boys' School, Bangalore, Mayank Agarwal modelled his style of batting on Virender Sehwag. Agarwal struck 432 runs at an average of 54 in five matches in the Under-19 Cooch Behar Trophy in 2008-09 and hit a match-winning 160 for India Under-19s, in a one-dayer against Australia Under-19s in Hobart in 2009.Agarwal was a bright spot in an otherwise disappointing Under-19 World Cup for India in 2010, top-scoring for his side in the tournament. Agarwal then graduated to the India A sides, but struggled for consistency.  Initially pigeonholed as a limited-overs specialist,  Agarwal made his Ranji Trophy debut for Karnataka in the 2013-14 season; he made his T20 debut in 2010-11 and List A debut in 2011-12. In the 2014-15 season, he was in the running to open for Karnataka in the Ranji Trophy, but was benched halfway through the season. According to Rahul Dravid, who worked with Agarwal in the India A side, it was a ""wake-up call"" for the opener. Agarwal lost weight in the off season, worked hard on his fitness, and scored his maiden first-class century the following season. He spent three seasons in the IPL with Royal Challengers Bangalore, from 2011 to 2013, scoring 492 runs in 35 matches, before moving to Delhi Daredevils in 2014. His stint with Daredevils was fairly muted in his first two seasons.ESPNcricinfo staffView more"
"2","Full NameArshdeep SinghBornFebruary 05, 1999, Guna, Madhya PradeshAge23y 267dBatting StyleLeft hand BatBowling StyleLeft arm Medium fastPlaying RoleBowlerTEAMSIndiaIndia Under-19sIndia Under-23sKings XI PunjabPunjab"
"3","Full NameRavichandran AshwinBornSeptember 17, 1986, Madras (now Chennai), Tamil NaduAge36y 43dBatting StyleRight hand BatBowling StyleRight arm OffbreakPlaying RoleBowling AllrounderTEAMSIndiaChennai Super KingsDelhi CapitalsDindigul DragonsIndia AIndia BlueIndia CementsIndia Emerging PlayersIndia GreenIndia RedIndian Board President's XIKings XI PunjabNottinghamshireRajasthan RoyalsRest of IndiaRising Pune SupergiantsSouth ZoneTamil NaduTamil Nadu Cricket Association XIWorcestershireR Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century.All through his career Ashwin has been a cricket nerd with a deep appreciation of the nuances of the game and an acute knowledge of his craft. And it was that sharp brain, along with the carrom ball, an equally good arm ball, and masterly control over his offbreaks that made him a quintessential limited-overs spinner early in his career. It was in Test cricket, though, that he became a force after he brought the full scope of his talents to bear on it. His success was desperately needed by India in the time after Anil Kumble retired and Harbhajan Singh was on the wane. Ashwin took nine wickets in his maiden Test, in which he was Player of the Match. In his first 16 Tests he collected nine five-fors, and he went on to be the fastest to 300 wickets and the second fastest to 400, behind only Muthiah Muralidaran.Among the highlights of Ashwin's Test career: 30 five-fors and counting, 90-odd wickets apiece against both Australia and England, and over 50 wickets a year four times. He reached his zenith in the 2016-17 home season, when he took 27 wickets in a three-Test series against New Zealand, 28 in five matches against England, six in a game against Bangladesh, and 21 against Australia in four Tests.Ashwin was picked by Chennai Super Kings in the IPL in 2009, and was one of the rare players who came into the public's reckoning through the IPL and proved himself good enough to have great success in Test cricket. He spent six seasons at CSK, winning the title twice, bowling at the top and the death, and coming on when wickets were required. He was the Man of the Series in the 2010 Champions League in South Africa.He was part of the winning squad in the 2011 World Cup, but got few chances in that tournament ahead of Harbhajan. In the 2015 tournament, he made up with 13 wickets from eight games in India's run to the semi-final. In T20Is his finest hour was the World Cup in 2014, when he took 4 for 11 against Australia, and 11 wickets in all in the tournament, where India lost in the final.An opener with the bat before he took up offspin, Ashwin has been a more than handy lower-order batter, correct, possessed of shots, and with five Test hundreds to his name.
View more"
"4","Full NameAvesh KhanBornDecember 13, 1996, Indore, Madhya PradeshAge25y 321dAlso Known AsAvesh KhanBatting StyleRight hand BatBowling StyleRight arm Fast mediumPlaying RoleBowlerTEAMSIndiaDelhi CapitalsIndia AIndia CIndia RedIndia Under-19sIndian Board President's XILucknow Super GiantsMadhya PradeshRoyal Challengers Bangalore"
"5","Full NameSimran Dil BahadurBornDecember 13, 1999, New DelhiAge22y 321dBatting StyleLeft hand BatBowling StyleRight arm MediumPlaying RoleBowling AllrounderTEAMSDelhi WomenIndia WomenIndia Women Emerging PlayersTrailblazersVelocity"
"6","Full NameTaniya BhatiaBornNovember 28, 1997, Chandigarh, PunjabAge24y 336dBatting StyleRight hand BatPlaying RoleWicketkeeper BatterTEAMSIndia Green WomenIndia WomenPunjab Women (India)Supernovas"
"7","Full NameYastika Harish BhatiaBornNovember 01, 2000, Baroda (now Vadodara), GujaratAge21y 363dBatting StyleLeft hand BatBowling StyleSlow Left arm OrthodoxPlaying RoleMiddle order BatterTEAMSBaroda WomenIndia WomenVelocity"
"8","Full NameEkta BishtBornFebruary 08, 1986, Almora, Uttar PradeshAge36y 264dBatting StyleLeft hand BatBowling StyleSlow Left arm OrthodoxPlaying RoleBowlerTEAMSIndia Blue WomenIndia WomenUttar Pradesh WomenVelocity"
"9","Full NameJasprit Jasbirsingh BumrahBornDecember 06, 1993, AhmedabadAge28y 328dBatting StyleRight hand BatBowling StyleRight arm FastPlaying RoleBowlerTEAMSIndiaGujaratIndia AIndia GreenIndia Under-23sMumbai IndiansWest RegionJasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him. Besides, like his Mumbai Indians team-mate, Lasith Malinga, Bumrah carved himself a reputation for possessing an uncanny ability to hit the blockhole. And, it was during his time in the IPL that he learned from the Sri Lankan to judiciously use the yorker.  A regular member of the India A team, Bumrah was on the fringes of national selection before a debilitating left knee injury at the end of 2014 kept him out for four-and-a-half months. He had to wait more than a year before earning another call-up, one which came on the back of a fruitful 2015-16 domestic season, where he was Gujarat's second-highest wicket-taker in the Ranji Trophy and topped the bowling charts in the Vijay Hazare Trophy - that included a five-for in the List-A final that gave Gujarat their maiden one-day title. Those performances, and an untimely injury to Mohammed Shami, meant Bumrah took the flight to Australia, where he played a central role for India, finishing as the highest wicket-taker from either side as the visitors swept the T20Is 3-0. It was a showing that earned him the praise of MS Dhoni - who called him the find of the tour - as well as a place in India's squad for the 2016 World T20.ESPNcricinfo staff View more"
"10","Full NameYuzvendra Singh ChahalBornJuly 23, 1990, Jind, HaryanaAge32y 99dBatting StyleRight hand BatBowling StyleLegbreak GooglyPlaying RoleBowlerTEAMSIndiaHaryanaIndia AMumbai IndiansNorth ZoneRajasthan RoyalsRoyal Challengers BangaloreYuzvendra Chahal is an attacking legspinner who first attracted attention when he took 34 wickets in the National Under-19 Cooch Behar Trophy in 2009, ending the tournament as its leading wicket-taker. A former chess player who represented India at junior levels, Chahal made his first-class debut for Haryana the same year and was signed by Mumbai Indians in 2011 to be part of their IPL squad. He didn't play a game that season but was still named in Mumbai's Champions League T20 squad the same year. It was in the Champions League that he got an extended run in the side - he featured in the playing XI in all the matches and starred in Mumbai's win in the final with a spell of 3-0-9-2. However, in the next two years with Mumbai, he managed only one game. His IPL fortunes mirrored those in domestic cricket, where he played in only eight matches in three seasons from 2011-12 onwards and picked up just 16 wickets.It was with Royal Challengers Bangalore, though, that he found the bulk of his success. He was their highest wicket-taker for two years running since the 2015 season and by virtue of that earned his first India caps in ODIs and T20Is on a tour of Zimbabwe in June 2016. While that series may have been seen as an opportunity to blood new players into international cricket, Chahal was called up again into the Indian T20 line-up to face England in January 2017, and delivered in style in the deciding game: his 6 for 25 in that match in Bangalore was part of an England collaspse of 8 for 8, and the third-best figures till then in T20Is.ESPNcricinfo staffView more"
